CustomerID,Lookalikes
C0001,"[('C0137', 0.99), ('C0191', 0.99), ('C0011', 0.98)]"
C0002,"[('C0088', 0.99), ('C0142', 0.99), ('C0178', 0.97)]"
C0003,"[('C0190', 0.99), ('C0147', 0.97), ('C0174', 0.96)]"
C0004,"[('C0113', 0.99), ('C0165', 0.97), ('C0012', 0.96)]"
C0005,"[('C0140', 0.99), ('C0186', 0.99), ('C0123', 0.98)]"
C0006,"[('C0048', 0.98), ('C0184', 0.97), ('C0107', 0.97)]"
C0007,"[('C0146', 1.0), ('C0115', 0.98), ('C0186', 0.97)]"
C0008,"[('C0018', 0.98), ('C0068', 0.94), ('C0034', 0.92)]"
C0009,"[('C0061', 0.97), ('C0198', 0.96), ('C0167', 0.94)]"
C0010,"[('C0121', 0.97), ('C0111', 0.97), ('C0172', 0.96)]"
C0011,"[('C0107', 0.99), ('C0001', 0.98), ('C0137', 0.98)]"
C0012,"[('C0153', 0.99), ('C0163', 0.98), ('C0102', 0.98)]"
C0013,"[('C0148', 0.99), ('C0104', 0.99), ('C0163', 0.99)]"
C0014,"[('C0063', 0.98), ('C0119', 0.97), ('C0198', 0.95)]"
C0015,"[('C0058', 0.99), ('C0020', 0.97), ('C0131', 0.97)]"
C0016,"[('C0185', 0.99), ('C0050', 0.98), ('C0079', 0.98)]"
C0017,"[('C0124', 0.97), ('C0053', 0.96), ('C0075', 0.96)]"
C0018,"[('C0008', 0.98), ('C0122', 0.97), ('C0046', 0.97)]"
C0019,"[('C0166', 1.0), ('C0073', 0.99), ('C0199', 0.99)]"
C0020,"[('C0015', 0.97), ('C0131', 0.97), ('C0058', 0.94)]"
